Date,Open,Low,High,Close,Volume,Amount
2015-01-02 10:11:00,1.11,1.11,1.11,1.11,1000,1110
2015-01-02 11:15:00,1.12,1.12,1.12,1.12,20000,22400
2015-01-02 11:59:00,1.12,1.12,1.12,1.12,2000,2240
2015-01-02 13:01:00,1.12,1.12,1.12,1.12,8000,8960
2015-01-02 13:36:00,1.12,1.12,1.12,1.12,12000,13440
2015-01-02 13:50:00,1.12,1.12,1.12,1.12,2000,2240
2015-01-02 14:14:00,1.11,1.11,1.11,1.11,100000,111480
2015-01-02 14:42:00,1.11,1.11,1.11,1.11,6000,6660
2015-01-02 14:59:00,1.11,1.11,1.11,1.11,1000,1110
2015-01-02 15:01:00,1.1,1.09,1.1,1.09,30000,32900
2015-01-02 15:20:00,1.11,1.11,1.11,1.11,1000,1110
2015-01-02 15:25:00,1.11,1.11,1.11,1.11,10000,11100
2015-01-02 15:32:00,1.1,1.1,1.1,1.1,1000,1100
2015-01-02 15:33:00,1.1,1.1,1.1,1.1,24000,26200
2015-01-02 15:44:00,1.1,1.1,1.1,1.1,2000,2200
2015-01-02 15:48:00,1.1,1.09,1.1,1.09,1094,1189
2015-01-05 10:07:00,1.09,1.09,1.09,1.09,54000,58360
2015-01-05 10:09:00,1.12,1.12,1.12,1.12,58000,63150
2015-01-05 10:31:00,1.08,1.08,1.08,1.08,56000,60490
2015-01-05 10:32:00,1.11,1.11,1.11,1.11,52000,56400
2015-01-05 11:17:00,1.12,1.12,1.12,1.12,3000,3360
2015-01-05 12:00:00,1.12,1.12,1.12,1.12,134000,150080
2015-01-05 13:04:00,1.1,1.1,1.1,1.1,6000,6600
2015-01-05 13:49:00,1.11,1.11,1.11,1.11,3000,3360
2015-01-05 14:47:00,1.11,1.11,1.11,1.11,81000,89910
2015-01-05 15:47:00,1.1,1.1,1.1,1.1,33000,36000
2015-01-06 09:31:00,1.1,1.1,1.1,1.1,5000,5500
2015-01-06 09:32:00,1.1,1.1,1.1,1.1,4000,4400
2015-01-06 09:51:00,1.08,1.08,1.08,1.08,74000,80240
2015-01-06 09:52:00,1.08,1.08,1.08,1.08,6000,6480
2015-01-06 11:15:00,1.08,1.08,1.08,1.08,20000,21600
2015-01-06 11:16:00,1.08,1.08,1.08,1.08,38000,41040
2015-01-06 11:19:00,1.08,1.08,1.08,1.08,2000,2160
2015-01-06 11:26:00,1.08,1.08,1.08,1.08,2000,2160
2015-01-06 11:33:00,1.09,1.09,1.09,1.09,45000,48870
